ID	log2fold	p	p.adj
ENSMUSG00000045092	3.7996199507	4.78647301156116E-014	4.10947269301237E-012
ENSMUSG00000043099	-3.2182371694	4.84438361730261E-014	4.14214653310592E-012
ENSMUSG00000020366	-1.4332400645	5.1330984893112E-014	4.37109525642855E-012
ENSMUSG00000043832	5.8418771727	5.23873806114556E-014	4.44291838088129E-012
ENSMUSG00000038677	4.4419152565	5.7926100224509E-014	4.89276206066369E-012
ENSMUSG00000027533	5.3971705038	6.11445312928459E-014	5.14378369501066E-012
ENSMUSG00000043068	4.0912858954	6.57377844323461E-014	5.50798151249814E-012
ENSMUSG00000014453	6.1138777404	6.88700677925571E-014	5.74734489742448E-012
ENSMUSG00000075225	-4.5095011711	7.04787621307024E-014	5.85816101327826E-012
ENSMUSG00000024798	-2.9301533035	7.35503207267531E-014	6.07842459574543E-012
ENSMUSG00000037579	5.6928505591	7.37114232240614E-014	6.07842459574543E-012
ENSMUSG00000042498	-8.2008336465	7.71318953183552E-014	6.33544382687734E-012
ENSMUSG00000045672	4.3799344298	7.85171191449528E-014	6.42393198714177E-012
ENSMUSG00000057337	5.162144119	7.92492410811118E-014	6.45850358076264E-012
ENSMUSG00000036006	3.2439754319	8.45270251510941E-014	6.86181838804388E-012
ENSMUSG00000079033	4.913355234	9.03707798915783E-014	7.30777356929457E-012
ENSMUSG00000029455	-1.1527644989	1.00218783907701E-013	8.0728358635767E-012
ENSMUSG00000030101	-1.3324212695	1.03538206036385E-013	8.30814458668115E-012
ENSMUSG00000026778	2.9252833209	1.10136820533106E-013	8.80377198000841E-012
ENSMUSG00000068036	-1.7152183691	1.15633487469704E-013	9.20786812626121E-012
ENSMUSG00000055296	-1.7388955536	1.27018492483187E-013	1.00759954702537E-011
ENSMUSG00000035042	5.472334006	1.31479997349705E-013	1.03904060026777E-011
ENSMUSG00000040466	2.3619514551	1.36859264673472E-013	1.07746975052176E-011
ENSMUSG00000004709	-2.8725278439	1.40086382229191E-013	1.0987301475367E-011
ENSMUSG00000038668	-3.511915181	1.48991366377355E-013	1.1641973321089E-011
ENSMUSG00000040767	2.170223491	1.51562077244586E-013	1.17986552893799E-011
ENSMUSG00000032366	1.3304102188	1.62932451594681E-013	1.2636653299702E-011
ENSMUSG00000043939	-4.8948648552	1.64557447937758E-013	1.27154149493535E-011
ENSMUSG00000114608	6.087012894	1.684472053226E-013	1.29679485042266E-011
ENSMUSG00000036896	4.8512712117	1.85008268517165E-013	1.41905423017413E-011
ENSMUSG00000080859	17.1005016752	1.87628009714066E-013	1.43387661782585E-011
ENSMUSG00000036526	-2.3681663918	2.09167967385894E-013	1.5926537604277E-011
ENSMUSG00000031400	-1.4886983447	2.17564370409205E-013	1.650561985399E-011
ENSMUSG00000059994	3.2529165648	2.21963734889851E-013	1.67783673949528E-011
ENSMUSG00000002228	-3.5021440863	2.42404239489496E-013	1.82573272507919E-011
ENSMUSG00000015305	-2.903143183	2.46511015597564E-013	1.84640298471036E-011
ENSMUSG00000060803	2.7636517664	2.46918675518473E-013	1.84640298471036E-011
ENSMUSG00000038152	4.8008115156	2.62467370262904E-013	1.9556631234982E-011
ENSMUSG00000018648	3.5119597316	2.67750498636805E-013	1.98792834628457E-011
ENSMUSG00000052087	-2.0804731049	2.78686813295913E-013	2.06178829283427E-011
ENSMUSG00000087651	7.3610954692	2.95018175499464E-013	2.16923802263437E-011
ENSMUSG00000059248	-2.1335471457	2.95290034236765E-013	2.16923802263437E-011
ENSMUSG00000022037	5.3362397468	3.01838255169072E-013	2.20956193599732E-011
ENSMUSG00000024219	-1.7370278803	3.37746618146705E-013	2.46377891412402E-011
ENSMUSG00000044042	4.2007589942	3.4441274467808E-013	2.5036526453724E-011
ENSMUSG00000022184	3.06453457	3.94329060257216E-013	2.8565580500508E-011
ENSMUSG00000048264	-3.6981808363	4.73325158227862E-013	3.41694905747678E-011
ENSMUSG00000050272	6.29650471	4.80179972044315E-013	3.45448095060709E-011
ENSMUSG00000031903	3.4673306122	5.04145549963944E-013	3.6144290752226E-011
ENSMUSG00000057098	4.473494715	5.07253486969477E-013	3.62425667761787E-011
ENSMUSG00000032375	-2.5131302271	5.35099519575747E-013	3.81016425833065E-011
ENSMUSG00000038764	1.9884688315	5.6124418997926E-013	3.98273385562493E-011
ENSMUSG00000020882	2.0712467718	5.67202319636363E-013	4.01137016765201E-011
ENSMUSG00000038037	3.0729134703	5.71146370485326E-013	4.02561713764708E-011
ENSMUSG00000046876	2.7297325074	6.08595589452283E-013	4.27512787297744E-011
